Full Date,Weighted Drought Score,Dow_Date,Dow_Open,Dow_High,Dow_Low,Dow_Close,Dow_Avg Vol,Dow_Adj Close*,Unemployment,pew-congress-poll-date,pew-congress-approve,pew-congress-disapprove
2/1/14,20.076,3-Feb-14,"15,697.69","16,398.95","15,340.69","16,321.71","165,366,800","16,321.71",6.7,2/26/14,23,72
3/1/14,17.54,3-Mar-14,"16,321.71","16,505.70","16,046.99","16,457.66","104,783,300","16,457.66",6.6,,,
4/1/14,16.112,1-Apr-14,"16,458.05","16,631.63","16,015.32","16,580.84","99,044,200","16,580.84",6.2,,,
5/1/14,15.2475,1-May-14,"16,580.26","16,735.51","16,341.30","16,717.17","83,254,700","16,717.17",6.3,,,
6/1/14,14.229,2-Jun-14,"16,716.85","16,978.02","16,673.65","16,826.60","87,897,100","16,826.60",6.1,,,
7/1/14,11.8292,1-Jul-14,"16,828.53","17,151.56","16,563.30","16,563.30","81,479,500","16,563.30",6.2,7/14/14,28,69
8/1/14,8.6875,1-Aug-14,"16,561.70","17,153.80","16,333.78","17,098.45","74,480,800","17,098.45",6.1,,,
9/1/14,9.2508,2-Sep-14,"17,097.42","17,350.64","16,934.43","17,042.90","93,944,700","17,042.90",5.9,,,
10/1/14,9.302,1-Oct-14,"17,040.46","17,395.54","15,855.12","17,390.52","131,515,200","17,390.52",5.7,,,
11/1/14,10.1625,3-Nov-14,"17,390.90","17,894.83","17,278.36","17,828.24","84,050,500","17,828.24",5.8,,,
12/1/14,13.0788,1-Dec-14,"17,827.27","18,103.45","17,067.59","17,823.07","104,533,600","17,823.07",5.6,12/7/14,22,71
1/1/15,13.986,2-Jan-15,"17,823.07","17,951.78","17,136.30","17,164.95","117,091,000","17,164.95",5.7,,,
2/1/15,13.659,2-Feb-15,"17,169.99","18,244.38","17,037.76","18,132.70","97,492,600","18,132.70",5.5,,,
3/1/15,13.6144,2-Mar-15,"18,134.05","18,288.63","17,579.27","17,776.12","117,725,000","17,776.12",5.5,3/29/15,22,72
4/1/15,12.6095,1-Apr-15,"17,778.52","18,175.56","17,585.01","17,840.52","109,712,300","17,840.52",5.4,,,
5/1/15,12.223,1-May-15,"17,859.27","18,351.36","17,733.12","18,010.68","98,613,000","18,010.68",5.5,,,
6/1/15,12.152,1-Jun-15,"18,017.82","18,168.09","17,822.90","17,849.46","101,612,000","17,849.46",,,,
